adiff = -adiff;#702,19.007745190670615
result.mant[i] = r - rh * RADIX;#1260,17.459399435255264
return exp - 1;#1079,17.45788134061373
final int excp;#1497,17.45284704061655
result.shiftRight();#1559,17.452541687909296
exponent++;#2371,17.450975690569198
sign = (byte) -1;#292,17.44828224182129
exponent--;#2367,17.447623507181802
by the formula dx = (y - x*x) / (2x); */#1921,17.44676643371582
sign = 1;#229,17.444910168647766
p = significantDigits-1+offset;#490,17.442944791581894
product[i+j] = r - rh * RADIX;#1469,17.442887655893962
y = negate();#2320,17.441698789596558
return DfpField.FLAG_UNDERFLOW;#1387,17.434342702229817
inc = n != 0;       // round up if n!=0#1339,17.431966887580025
return Double.NaN;#2314,17.431147946251762
quotient[i] = 0;#1658,17.430450105667113
int diff = exp - e;#698,17.42985420227051
int rh = 0;  // acts as a carry#1463,17.429049367490023
return result;#1881,17.427741753427608
this.field = field;#186,17.427550860813685
int exponent = (int) ((bits & 0x7ff0000000000000L) >> 52) - 1023;#267,17.4222654402256
mant[i] = r - rh * RADIX;#1155,17.42195208867391
trailingZeros++;#497,17.420415699481964
case DfpField.FLAG_UNDERFLOW:#2168,17.419297178586323
result.exp = 0;#1564,17.41673681471083
break;#1126,17.416621420118545
exp++;#237,17.415364333561488
result.mant[mant.length - i - 1] = product[md - i];#1485,17.414408683776855
int rl = 0;#1828,17.409693445478165
buffer[p++] = '0';#2094,17.402366547357467
exponent--;#2328,17.402025413513183
result.exp = exp + x.exp + md - 2 * mant.length + 1;#1489,17.400395223072596
break;#1913,17.397181775834824
buffer[p++] = '.';#2100,17.395415260678245
break;#2183,17.393700705634224
significantDigits++;#459,17.393689930438995
trialgood = true;#1715,17.391624976848735
public class Dfp implements FieldElement<Dfp> {#96,17.390969716585598
dx = dx.add(this.divide(x));#1928,17.38970371246338
negative = true;#382,17.389615893363953
break;#2141,17.389219495985245
result.nans = QNAN;#598,17.386795906793502
result = newInstance(this);#1527,17.383955996969473
bextradigit = b.align(a.exp);#1243,17.383599501389725
break;#1129,17.38358720143636
result.exp = result.exp + ERR_SCALE;#2175,17.382455507914226
result.exp = 0;#1773,17.382110171847874
outputbuffer[q++] = '.';#2010,17.38035947626287
result = dotrap(DfpField.FLAG_INEXACT, NEXT_AFTER_TRAP, x, result);#2287,17.38027460147173
int qd;         // current quotient digit we're working with#1583,17.38015523450128
final int r = mant[i] + rh;#1153,17.37971073648204
q = offset;  // set q to point to first sig digit#489,17.379310564561322
nsqd++;#1734,17.379009675979614
result.mant[mant.length-1] = rh;#1560,17.37562698788113
break;#468,17.374476866288617
final Dfp result = this.subtract(this.divide(d).rint().multiply(d));#943,17.371940668891458
result = dotrap(excp, DIVIDE_TRAP, divisor, result);#1783,17.371357368700433
pointInserted = true;#2068,17.369583129882812
rawdigits[p++] = (char) (((mant[i] / 10) % 10) + '0');#1989,17.366590356826784
result = dotrap(excp, MULTIPLY_TRAP, x, result);#1505,17.36549013853073
decimalPos--;#413,17.363862180709837
quotient while we are at it */#1654,17.3631233215332
break;#1360,17.36052581999037
def.nans = QNAN;#2164,17.35923747358651
outputbuffer[q++] = '-';#2040,17.3579062982039
decimalPos = q-offset;#485,17.357352457548444
break;#2176,17.35626941257053
result = newInstance(this);#1879,17.35547853552777
Dfp result = x.newInstance(x);#2221,17.352201060244912
aextradigit = 0;#1286,17.350741068522137
field.setIEEEFlagsBits(DfpField.FLAG_OVERFLOW);#1392,17.34960857514412
break;#2166,17.349082893795437
return 2147483647;#1055,17.348414772435238
int nsqd;       // number of significant quotient digits we have#1584,17.34387264932905
mant[i] = (striped[q]   - '0') * 1000 +#516,17.342889696359634
int md=0;       // most sig digit in result#1588,17.33823959350586
int i = ((rsize * 100) - decimalPos - sciexp % rsize) % rsize;#502,17.335290521383286
break;#1739,17.32847849527995
result = dotrap(DfpField.FLAG_INEXACT, NEXT_AFTER_TRAP, x, result);#2292,17.327394632192757
outputbuffer[q++] = '0';#2016,17.32716603712602
result.exp = 0;#1494,17.32541603512234
rawdigits[p++] = (char) (((mant[i] / 100) %10) + '0');#1988,17.32478036880493
Dfp dx = newInstance(x);#1918,17.324132638819076
break;#1910,17.323434935675728
result.mant[0] = aextradigit+bextradigit;#1285,17.322674459881252
buffer[p++] = '.';#2085,17.321217308044435
excp = result.round(product[md-mant.length]);#1499,17.316659723009383
rawdigits[p++] = (char) ((mant[i] / 1000) + '0');#1987,17.31662506527371
final int r = a.mant[i]+b.mant[i]+rh;#1258,17.316506534814835
outputbuffer[q++] = (char)(ae / p + '0');#2044,17.3159572667089
this.mant    = new int[field.getRadixDigits()];#541,17.315542016710555
return newInstance(this);#962,17.31547080145942
protected int exp;#170,17.314666271209717
buffer[p++] = '0';#2074,17.31351816086542
result = dotrap(DfpField.FLAG_INVALID, DIVIDE_TRAP, result, result);#1822,17.30881690979004
public static final int MAX_EXP =  32768;#107,17.307421922683716
dividend = new int[mant.length+1];  // one extra digit needed#1642,17.305407377389763
result.nans = QNAN;#1416,17.30506556374686
result.nans = QNAN;#1534,17.30485610961914
mantissa >>>= 1;#2372,17.30463065041436
result.mant[i] = 0;#997,17.304543235085227
result.nans = QNAN;#1595,17.303428014119465
md = i;#1478,17.302568435668945
outputbuffer[q++] = 'e';#2024,17.301070584191216
outputbuffer[q++] = 'e';#2019,17.300346808000043
inexact = true;#727,17.298166313171386
y = y.subtract(getOne());#2342,17.29757296520731
result = dotrap(DfpField.FLAG_INVALID, ADD_TRAP, x, result);#1201,17.29734847545624
mant[i]++;#245,17.297168922424316
changed |= result.mant[i] != 0;#996,17.29142189025879
break;#1907,17.29009903801812
excp = result.round(0);#1779,17.288392066955566
p++;#458,17.287207194737025
ppx = px;#1930,17.286175039079453
if (isNaN() || x.isNaN() || field.getRadixDigits() != x.field.getRadixDigits()) {#845,17.282069047292072
return result;#1536,17.281318865324323
exponent++;#2362,17.280636378696986
return 17 + (sign << 8) + (nans << 16) + exp + Arrays.hashCode(mant);#837,17.27907475062779
return split;#2397,17.278732126409356
return field;#633,17.278499603271484
final int excp = result.round(lostdigit);#1272,17.277811845143635
result.mant[0] = rh;#1842,17.277342146093194
outputbuffer[q++] = '0';#2018,17.27614537152377
result.mant[i] = rh;#1833,17.275696190920744
result = result.add(getOne());#1012,17.274914597020004
field.setIEEEFlagsBits(DfpField.FLAG_UNDERFLOW);#1386,17.274907290935516
buffer[p++] = '0';#2093,17.274077506292436
pointInserted = true;#2086,17.271386666731402
if (rounded.lessThan(newInstance(-2147483648))) {#1058,17.270672724797176
p++;#452,17.268030166625977
result = newInstance(x);#1439,17.267088433970574
d.exp = (e + 1) / 4;#1118,17.266501983006794
mant[i] = RADIX-mant[i]-1;#1147,17.265641706961173
md = i;#1758,17.264561462402344
for (int i = 0; i < adiff; i++) {#720,17.26360843492591
result.nans = QNAN;#1171,17.263168425787065
rawdigits[p++] = (char) (((mant[i]) % 10) + '0');#1990,17.261117161931217
def.nans = QNAN;#2140,17.260254440307616
px = x;#1931,17.259452314937818
int min = divMsb       / (divisor.mant[mant.length-1]+1);#1669,17.259272711617605
result.nans = QNAN;#1626,17.258977317810057
while (exponent < -1023) {#2370,17.25832610660129
up = !up;#2252,17.25735636318431
boolean pointInserted = false;#2061,17.25605723063151
break;#1356,17.250624868604874
sciexp = sciexp * 10 + fpexp.charAt(i) - '0';#386,17.2459222882293
for (int j=0; j<mant.length; j++) {#1464,17.243347233739392
min = trial+1;#1727,17.242145538330078
result = newInstance(this);#1433,17.241027334462043
if (isNaN() || x.isNaN() || field.getRadixDigits() != x.field.getRadixDigits()) {#820,17.24087966006735
return -1;#867,17.240501594543456
result.sign = sign;#1811,17.239846388498943
result.exp = a.exp;#1262,17.23894375562668
return result;#1628,17.23814156180934
remainder[i] = r - rh * RADIX;#1691,17.23460641503334
x.mant[mant.length-1] = 1500;#1909,17.233371088581702
case 1:#1124,17.233256530761718
xdfp = xdfp.divide(new Dfp(field, 4503599627370496l)).add(field.getOne());  // Divide by 2^52, then add one#302,17.232921020657407
result.mant[mant.length-i-1] = quotient[md-i];#1765,17.232639200547162
result = newInstance(this);#1612,17.231862938922383
default: def = result; break;#2185,17.22991313934326
final int excp = result.round(rl * RADIX / divisor);  // do the rounding#1845,17.228186945761404
result = newInstance(this);#1445,17.22656880254331
nsqd = 0;#1663,17.22639274597168
result = result * RADIX + rounded.mant[i];#1063,17.224572218381443
if (rawdigits[p] != '0') {#1995,17.22323600769043
exponent--;#2336,17.222162680192426
int trial=0;    // trial quotient digit#1585,17.22183331989107
x = x.add(dx);#1932,17.21864709854126
long bits = mantissa | ((exponent + 1023L) << 52);#2375,17.218458633422852
return x;#2382,17.217590938914906
int result = 0;#1050,17.21600708594689
result.mant[i] = r - rh * RADIX;#1553,17.215360288266783
case DfpField.FLAG_OVERFLOW:#2178,17.214533722918965
int bextradigit = 0;#1239,17.212765413172104
final int r = mant[i] * x + rh;#1551,17.210489959716796
x.mant[mant.length-1] = 3000;#1915,17.207029465706118
return result;#1202,17.204944209048623
return d;#1089,17.20450956171209
sign = 1;#183,17.204089005788166
break;#1007,17.202960794622246
e++;#2076,17.20120280129569
sign = (byte) 1;#289,17.201060958530594
int quotient[]; // quotient#1581,17.20079243183136
dotrap(DfpField.FLAG_INEXACT, ALIGN_TRAP, this, this);#740,17.19928889955793
result = this.subtract(inc);#2282,17.198886481198397
field = d.field;#324,17.197186129433767
buffer[p++] = '0';#2073,17.194835799080984
break;#1352,17.193112055460613
a.sign = sign;#1023,17.188232549031575
final int divMsb = dividend[mant.length]*RADIX+dividend[mant.length-1];#1668,17.188143171915193
return this;#1425,17.186551244635332
result = newInstance(this);#1890,17.18599756140458
def.nans = QNAN;#2154,17.182381070893385
striped[++p] = '0';#509,17.18200740814209
excp = result.round(0); // has no effect except to check status#1501,17.178442593278557
sign = (byte) 1;#295,17.17839527130127
return this;#1178,17.17820980674342
result = dotrap(DfpField.FLAG_DIV_ZERO, DIVIDE_TRAP, divisor, result);#1638,17.177031261164966
x.mant[mant.length-1] = 2200;#1912,17.175859808921814
buffer[p++] = '0';#2092,17.173004150390625
buffer[p++] = '0';#2072,17.171998387291318
return newInstance(this);#966,17.170817110273575
return this;#1604,17.169827360855905
return result;#1456,17.168595966539886
int[] product = new int[mant.length*2];  // Big enough to hold even the largest result#1460,17.167694926261902
final Dfp x = (Dfp) other;#819,17.16712528726329
sign = 1;#260,17.166804790496826
buffer[p++] = '0';#2091,17.165834472292946
q -= i;#503,17.164382457733154
mant[i] = r - rh * RADIX;#1374,17.164278507232666
exp = 0;#184,17.163885196050007
return result;#1528,17.163653825458727
case 0:#1905,17.16290003458659
quotient = new int[mant.length+2];  // two extra digits needed 1 for overflow, 1 for rounding#1643,17.161778954898608
nans = QNAN;#360,17.161313809846575
case ROUND_HALF_EVEN:#1016,17.161173855816877
final int excp = result.round(lostdigit);#1567,17.161005592346193
return result;#1038,17.160590108235677
int excp;       // exceptions#1589,17.159219360351564
int r = mant[i] * x.mant[j];    // multiply the 2 digits#1465,17.15367869841747
return DfpField.FLAG_OVERFLOW;#1393,17.15266526263693
final int r = (dm * trial) + rh;#1681,17.15217152237892
extra = extra - rh * RADIX;#1151,17.146433661965762
break;#1344,17.14525932735867
int exponent = (int)(y.log10() * 3.32);#2326,17.144338568051655
if (exponent <= -1023) {#2366,17.143981456756592
result = dotrap(DfpField.FLAG_INVALID, DIVIDE_TRAP, divisor, result);#1627,17.142679149454292
result.sign = (byte) (sign * x.sign);#1434,17.142608451843262
public String toString() {#1954,17.141949081420897
def = newInstance(result);  // gradual underflow#2173,17.14154440164566
remainder = new int[mant.length+1]; // one extra digit needed#1644,17.14104465484619
result.nans = QNAN;#2237,17.13696793147496
double split[] = new double[2];#2391,17.136779392466824
exp = e;#712,17.136446118354797
int q;#2059,17.135744615034625
final int r = mant[i] + rh;#1372,17.13392656820792
continue;#453,17.13356081644694
exponent++;#276,17.133488382611954
return result;#2223,17.133411494168367
decimalFound = true;#445,17.131133124941872
return;#273,17.130937788221573
q++;#457,17.128535202571324
q += 4;#520,17.12822937965393
Dfp result = newInstance(this);#1518,17.1275572496302
return add(x.negate());#1324,17.12743979692459
(nans == INFINITE && x.nans == FINITE && x.mant[mant.length-1] == 0) ) {#1451,17.126517925622327
result.nans = QNAN;#1544,17.12203157515753
Dfp y = this;#2317,17.12123257773263
result.nans = QNAN;#1200,17.119828720092773
remainder[i] = r - rh * RADIX;#1683,17.11700341105461
byte rsign = bsign;#1221,17.11606330871582
inc.exp = this.exp-mant.length+1;#2275,17.11542926296111
Dfp result;#1876,17.111949682235718
p++;#447,17.109607378641766
return newInstance(this);#971,17.107153680589462
boolean negate = false;#2318,17.10620454641489
inc.exp = this.exp-mant.length+1;#2259,17.105944810090243
buffer[p++] = '0';#2066,17.105351311819895
break;#1348,17.104827404022217
product[i+mant.length] = rh;#1471,17.10316518942515
long bits = Double.doubleToLongBits(x);#265,17.100435484023322
final int r = ((RADIX-1) - remainder[i]) + dividend[i] + rh;#1689,17.097379424355246
bextradigit = b.complement(bextradigit);#1249,17.095948190400094
Dfp px  = getZero();#1923,17.092570529264563
shiftRight();#1378,17.092326816759613
result = result.add(newInstance(-1));#1005,17.08966909136091
Dfp a = subtract(result);  // difference between this and result#1019,17.084889820643834
continue;#1707,17.08340428092263
result.sign = (byte) (sign * x.sign);#1440,17.08321746190389
protected void shiftRight() {#678,17.082910442352294
trialgood = false;#1723,17.0813733291626
y = y.divide(DfpMath.pow(getTwo(), exponent));#2340,17.08123927646213
def.sign = result.sign;#2171,17.079471111297607
def = newInstance(getZero());#2163,17.076481819152832
q++;#2106,17.074237074170792
excp = result.round(quotient[md-mant.length]);#1777,17.074001693725585
mantissa = 0;#2361,17.072891235351562
Dfp tempDfp = DfpMath.pow(getTwo(), exponent);#2331,17.07228785294753
continue;#383,17.072124047712848
buffer[p++] = (char) (((mant[i] / 10) % 10) + '0');#2082,17.068982751745928
return result;#980,17.06775843302409
mant[mant.length-1] = rh;#1379,17.06670001574925
rh = 1;  // carry in to aid the subtraction#1687,17.064906449153504
result.nans = QNAN;#1821,17.06484317779541
return result;#1316,17.06235235387629
return NAN_STRING;#1960,17.06222451251486
quotient[mant.length] = 0;#1649,17.06112093674509
def.nans = QNAN;#2159,17.06012752138335
final int lostdigit = result.mant[0];#1269,17.059601108233135
e = exp * 4 - shf - 1;#2028,17.058649113303737
case ROUND_UP:#1338,17.058470249176025
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1169,17.05814035477177
buffer[p++] = (char) (((mant[i] / 100) % 10) + '0');#2081,17.05787864484285
a.sign = sign;#1030,17.05598128636678
result.mant[mant.length-1] = rh;#1271,17.05567352860062
mant[i] = mant[i-1];#668,17.05523561394733
inc.exp = this.exp-mant.length;#2273,17.053986450721478
public int intValue() {#1048,17.05199384689331
buffer[0] = ' ';#2063,17.051582098007202
result.sign = (byte) - result.sign;#1315,17.049264669418335
result = dotrap(DfpField.FLAG_INVALID, SQRT_TRAP, null, result);#1880,17.048508202157368
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1414,17.048454346195346
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1889,17.04828582271453
nans = FINITE;#262,17.048260075705393
if (a.nans == FINITE && b.nans == INFINITE) {#878,17.044947283608572
nans = FINITE;#213,17.043751444135392
return dotrap(DfpField.FLAG_INVALID, DIVIDE_TRAP, divisor, result);#1596,17.043074363317245
round((striped[q] - '0')*1000);#528,17.042397279005783
continue;#1698,17.042199655012652
return 1;#869,17.04131949575324
aextradigit = a.align(b.exp);#1241,17.041023437793438
result = dotrap(excp, MULTIPLY_TRAP, result, result);#1569,17.040985077619553
def = newInstance(getZero());#2170,17.03965159824916
int q = offset;#428,17.03781824845534
buffer[p++] = (char) ((mant[i] / 1000) + '0');#2080,17.034706255968878
int rh = 0;#1549,17.033467072706955
return lostdigit;#743,17.032075087229412
buffer[--q] = '-';#2119,17.030860219682967
public int classify() {#2210,17.029213905334473
sign = (byte) -1;#353,17.02878532409668
return newInstance(this);#988,17.02655914094713
if (fpexp.charAt(i) >= '0' && fpexp.charAt(i) <= '9')#385,17.025571823120117
decimalFound = true;#417,17.02414526258196
default:#1130,17.023918424333846
xdfp = xdfp.multiply(DfpMath.pow(field.getTwo(), exponent));#303,17.023242697996253
result = dotrap(DfpField.FLAG_INEXACT, TRUNC_TRAP, this, result);#979,17.02202067877117
if (a.mant[a.mant.length - 1] == 0 && b.mant[b.mant.length - 1] == 0 &&#860,17.021064866672862
case 2:#1127,17.02024065653483
result.sign = rsign;#1263,17.017207209269205
extra = RADIX-extra;#1145,17.01489798227946
return dotrap(DfpField.FLAG_INVALID, ADD_TRAP, x, result);#1172,17.014538914816722
return result;#1435,17.014176720067073
nans = INFINITE;#296,17.01371373300967
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#596,17.013310893889397
up = true;#2244,17.012151300907135
return newInstance(this);#1803,17.008946071971547
remainder[i] = 0;#1659,17.00647931349905
return x;#1190,17.005169316342002
return -a.sign;#904,17.004720861261543
trial = (min+max)/2;#1675,17.00190414428711
return x;#1182,17.001500430860016
return x;#1429,16.998628114399157
a = newInstance(getOne());#1022,16.998090595006943
Dfp b = newInstance(x);#1208,16.997098586138556
System.arraycopy(xdfp.mant, 0, mant, 0, mant.length);#309,16.996478207906087
quotient[mant.length+1] = 0;#1650,16.99619770050049
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#2235,16.995604084384055
public int getRadixDigits() {#639,16.99464489863469
return a.sign;#900,16.99449652717227
return result;#1546,16.99354674021403
nans = QNAN;#290,16.992782509845235
return x;#1194,16.992767735531455
def.nans = INFINITE;#2148,16.99222939589928
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1593,16.989825987046764
result = dotrap(DfpField.FLAG_INVALID, MULTIPLY_TRAP, x, result);#1455,16.989242975101913
if (mantissa == 4503599627370496L) {#2359,16.988158930902895
result = dotrap(DfpField.FLAG_INVALID, SQRT_TRAP, null, result);#1892,16.987842585589433
result.nans = QNAN;#1454,16.986876564025877
exp = 0;#261,16.984619140625
exp = 0;#232,16.98245318730672
p++;#420,16.981779984065465
case ROUND_FLOOR:#1002,16.98051917552948
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1532,16.98001139504569
if (fpdecimal.charAt(p) >= '1' && fpdecimal.charAt(p) <= '9') {#408,16.975855361583623
if (nans == INFINITE && x.nans == FINITE && x.mant[mant.length-1] != 0) {#1432,16.973285759819877
result.shiftRight();#1270,16.972427031573126
if (x.exp < -1 || x.exp > 1) {#1899,16.971938927968342
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1878,16.96967419215611
split[1] = subtract(newInstance(split[0])).toDouble();#2395,16.966515504396877
return x;#1946,16.963841438293457
result.nans = QNAN;#1891,16.962626139322918
int rh = 1;#1370,16.961530012242935
q--;#466,16.961291212784616
int minadj;     // minimum adjustment#1586,16.96117551703202
result.nans = QNAN;#757,16.96097301301502
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1198,16.959741837637765
return false;#821,16.959155735216644
mant[i] = mant[i+1];#680,16.953856551128887
return result;#1823,16.95307871500651
while (tempDfp.lessThan(y) || tempDfp.equals(y)) {#2332,16.953011005155503
return exp * 4 - 3;#1103,16.952835484554893
result.shiftLeft();#1838,16.951819756451776
{#381,16.95097059362075
case DfpField.FLAG_DIV_ZERO:#2143,16.950297554334004
a.sign = 1;            // force positive (take abs)#1020,16.9476994601163
return newInstance(x);#2248,16.94688473807441
return field.getRadixDigits();#640,16.942098954144647
return result;#2295,16.941758242520418
this.field = field;#263,16.940917355673655
inc.exp = this.exp;#2269,16.94062786102295
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#780,16.939615034287975
mant[mant.length - 1] = (int) (x % RADIX);#235,16.938229622379428
field.setIEEEFlagsBits(DfpField.FLAG_DIV_ZERO);#1634,16.936261862516403
return false;#846,16.93604106903076
result = newInstance(getZero());#1533,16.935928265253704
case ROUND_DOWN:#1334,16.934831460316975
mant  = d.mant.clone();#320,16.93114158842299
this.field = field;#338,16.92830181121826
boolean negative = false;#376,16.928029284757727
if (nans != FINITE) {#1865,16.926594173207004
if (nans == FINITE && mant[mant.length-1] == 0) {#1860,16.925579728751348
if (exponent == -1023) {#269,16.921880192226833
Dfp xdfp = new Dfp(field, mantissa);#301,16.92101661018703
case 2:#1908,16.920902188618978
a = newInstance(getOne());#1029,16.91826131939888
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#1542,16.91739534562634
return result;#1070,16.9173695824363
result = dotrap(DfpField.FLAG_INEXACT, TRUNC_TRAP, this, result);#1037,16.916340953425358
case 3:#1911,16.914504114786784
for (qd = mant.length+1; qd >= 0; qd--) {#1664,16.913289070129395
decimalPos = 0;#480,16.9114725449506
protected Dfp(final DfpField field, long x) {#209,16.911053710513645
case ROUND_HALF_UP:#1342,16.91055189479481
Dfp result = newInstance(getZero());#978,16.908625039187346
return exp * 4 - 2;#1100,16.90853214263916
if (a.nans == INFINITE && b.nans == FINITE) {#874,16.90806540421077
decimalPos += i;#504,16.90783221905048
boolean changed = false;#959,16.906527225787823
field.setIEEEFlagsBits(DfpField.FLAG_INEXACT);#977,16.90640943281112
result.nans = QNAN;#782,16.905609675816127
field.setIEEEFlagsBits(DfpField.FLAG_INVALID);#755,16.904330807347453
return result;#1850,16.902660976756703
if (adiff > (mant.length + 1)) {#709,16.9015061638572
